year,rcp,had,had_025,had_975,cw,cw_1sigma,giss,trf,volc,solar,anthro,ghg,co2ch4n2o,fgassum,mhalosum,aerosols,other,soi,amo,had_full,cw_full,giss_full,volc_mean,soi_mean,amo_mean
1872,rcp45,0.0762666666666667,-0.0947333333333333,0.241266666666667,-0.0157333333333333,0.059,NA,0.21568884,0.2070838,0.051760625,0.16392822,0.28859483,0.28844988,0,0.00014495,-0.062365425,-0.062301188,3.11666666666667,0.0954166666666667,0.0762666666666667,-0.0157333333333333,NA,0.2070838,3.11666666666667,0.0954166666666667
1873,rcp45,0.000266666666666693,-0.164733333333333,0.161266666666667,0.0152666666666667,0.059,NA,0.17641352,0.19337547,0.0265125,0.14990102,0.2939516,0.29379989,0,0.00015171,-0.066540858,-0.077509722,0.216666666666667,0.05,0.000266666666666693,0.0152666666666667,NA,0.19337547,0.216666666666667,0.05
1874,rcp45,-0.0707333333333333,-0.232733333333333,0.0892666666666667,-0.102733333333333,0.059,NA,0.15247698,0.20125776,-2.1874985e-05,0.15249886,0.30023225,0.30007378,0,0.00015847,-0.06634168,-0.081391713,1.01666666666667,-0.019,-0.0707333333333333,-0.102733333333333,NA,0.20125776,1.01666666666667,-0.019
1875,rcp45,-0.0937333333333333,-0.258733333333333,0.0642666666666667,-0.0837333333333333,0.059,NA,0.13840011,0.19406089,-0.020846875,0.15924699,0.30702371,0.30685848,0,0.00016523,-0.065586964,-0.082189756,0.258333333333333,0.0369166666666667,-0.0937333333333333,-0.0837333333333333,NA,0.19406089,0.258333333333333,0.0369166666666667
1876,rcp45,-0.0767333333333333,-0.236733333333333,0.0802666666666667,-0.0737333333333333,0.058,NA,0.13537358,0.15293589,-0.031731875,0.16710546,0.31418656,0.31401424,0,0.000172315,-0.066558914,-0.080522188,0.641666666666667,-0.0204166666666667,-0.0767333333333333,-0.0737333333333333,NA,0.15293589,0.641666666666667,-0.0204166666666667
1877,rcp45,0.227266666666667,0.0692666666666667,0.384266666666667,0.239266666666667,0.059,NA,0.14450085,0.14848068,-0.0351575,0.17965835,0.32221422,0.3220343,0,0.00017992,-0.065808976,-0.076746898,-2.64166666666667,0.243,0.227266666666667,0.239266666666667,NA,0.14848068,-2.64166666666667,0.243
1878,rcp45,0.338266666666667,0.181266666666667,0.496266666666667,0.322266666666667,0.059,NA,0.15385686,0.18035255,-0.036675625,0.19053248,0.33077946,0.33059155,0,0.000187915,-0.06440044,-0.075846545,0.208333333333333,0.45425,0.338266666666667,0.322266666666667,NA,0.18035255,0.208333333333333,0.45425
1879,rcp45,0.0712666666666667,-0.0787333333333333,0.218266666666667,0.0452666666666667,0.058,NA,0.16630282,0.20194318,-0.029553125,0.19585594,0.3397948,0.3395985,0,0.0001963,-0.065545249,-0.078393612,1.96666666666667,0.126833333333333,0.0712666666666667,0.0452666666666667,NA,0.20194318,1.96666666666667,0.126833333333333
1880,rcp45,0.0742666666666667,-0.0767333333333333,0.226266666666667,0.0182666666666667,0.052,0.00326666666666664,0.18430345,0.21565151,-0.00942375,0.1937272,0.34985586,0.34965085,0,0.00020501,-0.071123292,-0.085005365,1.18333333333333,0.0639166666666667,0.0742666666666667,0.0182666666666667,0.00326666666666664,0.21565151,1.18333333333333,0.0639166666666667
1881,rcp45,0.0972666666666667,-0.0557333333333333,0.249266666666667,0.0742666666666667,0.052,0.0932666666666667,0.20635684,0.22284839,0.01064,0.19571685,0.36049885,0.36028474,0,0.00021411,-0.07404124,-0.090740769,-0.983333333333333,0.0436666666666667,0.0972666666666667,0.0742666666666667,0.0932666666666667,0.22284839,-0.983333333333333,0.0436666666666667
1882,rcp45,0.0882666666666667,-0.0607333333333333,0.233266666666667,0.0202666666666667,0.051,0.103266666666667,0.22869478,0.11112547,0.0210525,0.20764228,0.37066673,0.37044306,0,0.000223665,-0.074124865,-0.088899585,-0.95,-0.0246666666666667,0.0882666666666667,0.0202666666666667,0.103266666666667,0.11112547,-0.95,-0.0246666666666667
1883,rcp45,0.0082666666666667,-0.128733333333333,0.146266666666667,-0.0307333333333333,0.052,0.00326666666666664,0.23900169,-0.80253495,0.02190125,0.21710044,0.38036098,0.38012737,0,0.00023361,-0.07622334,-0.087037207,-0.683333333333333,-0.0316666666666667,0.0082666666666667,-0.0307333333333333,0.00326666666666664,-0.80253495,-0.683333333333333,-0.0316666666666667
1884,rcp45,-0.104733333333333,-0.242733333333333,0.0292666666666667,-0.192733333333333,0.05,-0.0667333333333333,0.2355262,-1.5373016,0.010583125,0.2249431,0.38990514,0.38966119,0,0.000243945,-0.076438974,-0.08852306,-0.758333333333333,-0.07525,-0.104733333333333,-0.192733333333333,-0.0667333333333333,-1.5373016,-0.758333333333333,-0.07525
1885,rcp45,-0.0877333333333333,-0.224733333333333,0.0472666666666667,-0.174733333333333,0.05,-0.106733333333333,0.22513465,-0.94407349,-0.010530625,0.23566528,0.39838685,0.39813212,0,0.000254735,-0.074481826,-0.088239749,-1.075,-0.0238333333333333,-0.0877333333333333,-0.174733333333333,-0.106733333333333,-0.94407349,-1.075,-0.0238333333333333
1886,rcp45,-0.0657333333333333,-0.203733333333333,0.0672666666666667,-0.142733333333333,0.05,-0.0967333333333333,0.21270866,-0.44851724,-0.0316925,0.24440116,0.40562556,0.40535951,0,0.000266045,-0.073133201,-0.088091192,1.1,0.123333333333333,-0.0657333333333333,-0.142733333333333,-0.0967333333333333,-0.44851724,1.1,0.123333333333333
1887,rcp45,-0.115733333333333,-0.252733333333333,0.0132666666666667,-0.179733333333333,0.05,-0.126733333333333,0.20415727,-0.32137245,-0.044279375,0.24843665,0.4119969,0.41171903,0,0.000277875,-0.073754913,-0.089805337,0.833333333333333,0.121416666666667,-0.115733333333333,-0.179733333333333,-0.126733333333333,-0.32137245,0.833333333333333,0.121416666666667
1888,rcp45,-0.00873333333333332,-0.144733333333333,0.122266666666667,-0.0367333333333333,0.05,0.00326666666666664,0.194421424,-0.21102036,-0.0505225,0.24494393,0.41736708,0.41707685,0,0.000290225,-0.078237394,-0.094185757,-1.80833333333333,0.195166666666667,-0.00873333333333332,-0.0367333333333333,0.00326666666666664,-0.21102036,-1.80833333333333,0.195166666666667
1889,rcp45,0.130266666666667,-0.0117333333333333,0.264266666666667,0.0912666666666667,0.049,0.0932666666666667,0.19299621,-0.27750578,-0.0530425,0.24603871,0.42236276,0.42205967,0,0.000303095,-0.080006981,-0.096317076,0.025,0.19775,0.130266666666667,0.0912666666666667,0.0932666666666667,-0.27750578,0.025,0.19775
