year,rcp,had,had_025,had_975,cw,cw_1sigma,giss,trf,volc,solar,anthro,ghg,co2ch4n2o,co2,fgassum,mhalosum,aerosols,other,soi,amo,had_full,cw_full,giss_full,volc_mean,soi_mean,amo_mean
2024,rcp85,,,,,,,2.9569162,,0.17415125,2.782765,3.4729493,3.1060267,2.3310047,0.069286455,0.29763612,-0.3739041,-0.316280184,,,,,,0.0178146542751773,-0.0956111111111111,-0.00443073593073593
2025,rcp85,,,,,,,2.970827,,0.13018687,2.8406401,3.5253346,3.1572514,2.3718144,0.072140235,0.29594299,-0.37244288,-0.312251594,,,,,,0.0178146542751773,-0.0956111111111111,-0.00443073593073593
2026,rcp85,,,,,,,2.9852566,,0.086078125,2.8991784,3.5783823,3.2092139,2.4132271,0.074959042,0.29420934,-0.37098166,-0.308222219,,,,,,0.0178146542751773,-0.0956111111111111,-0.00443073593073593
2027,rcp85,,,,,,,3.0175381,,0.059268125,2.95827,3.6319869,3.2618007,2.4551395,0.077748579,0.2924377,-0.36952044,-0.304196491,,,,,,0.0178146542751773,-0.0956111111111111,-0.00443073593073593
2028,rcp85,,,,,,,3.0609448,,0.043176875,3.0177679,3.6860087,3.3148677,2.4974276,0.08051304,0.29062798,-0.36805921,-0.300181547,,,,,,0.0178146542751773,-0.0956111111111111,-0.00443073593073593
2029,rcp85,,,,,,,3.1098608,,0.032265625,3.0775952,3.7403766,3.3683392,2.5400311,0.0832561,0.28878131,-0.36659799,-0.296183417,,,,,,0.0178146542751773,-0.0956111111111111,-0.00443073593073593
2030,rcp85,,,,,,,3.1649293,,0.025655,3.1392743,3.7950768,3.4221956,2.5829415,0.085981223,0.28689996,-0.36409075,-0.291711784,,,,,,0.0178146542751773,-0.0956111111111111,-0.00443073593073593
2031,rcp85,,,,,,,3.2768726,,0.07252875,3.2043439,3.8501025,3.4764253,2.6261583,0.088691089,0.28498607,-0.35949146,-0.2862671471,,,,,,0.0178146542751773,-0.0956111111111111,-0.00443073593073593
2032,rcp85,,,,,,,3.4169293,,0.14625187,3.2706774,3.9056507,3.5312942,2.6697873,0.091361649,0.28299487,-0.35384614,-0.2811271597,,,,,,0.0178146542751773,-0.0956111111111111,-0.00443073593073593
2033,rcp85,,,,,,,3.5182644,,0.18119062,3.3370738,3.9619919,3.5871662,2.7140357,0.093973973,0.28085173,-0.34820083,-0.2767172511,,,,,,0.0178146542751773,-0.0956111111111111,-0.00443073593073593
2034,rcp85,,,,,,,3.5950747,,0.19056187,3.4045128,4.0192488,3.6442038,2.7590846,0.096539525,0.27850547,-0.34255552,-0.2721804429,,,,,,0.0178146542751773,-0.0956111111111111,-0.00443073593073593
2035,rcp85,,,,,,,3.6471817,,0.17415125,3.4730305,4.0774575,3.7024726,2.8050206,0.099068065,0.27591679,-0.3369102,-0.2675167919,,,,,,0.0178146542751773,-0.0956111111111111,-0.00443073593073593
2036,rcp85,,,,,,,3.6727632,,0.13018687,3.5425763,4.1365725,3.7619475,2.8518385,0.10156809,0.27305689,-0.33126489,-0.2627313276,,,,,,0.0178146542751773,-0.0956111111111111,-0.00443073593073593
2037,rcp85,,,,,,,3.6991564,,0.086078125,3.6130783,4.1965324,3.8225786,2.8995034,0.10404732,0.26990652,-0.32561957,-0.2578345843,,,,,,0.0178146542751773,-0.0956111111111111,-0.00443073593073593
2038,rcp85,,,,,,,3.7436444,,0.059268125,3.6843762,4.2571872,3.8842258,2.9479034,0.10651131,0.26645012,-0.31997426,-0.2528367209,,,,,,0.0178146542751773,-0.0956111111111111,-0.00443073593073593
